Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,476.873787,534.0572815,544.3958491,364.3669626,409.850486,366.3228539,387.1762034,432.3240257,455.2439629,449.2284676,462.8790713,492.2631428,467.359825,495.9788973,516.1704245
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4492995,4565021,4610848,4642419,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,12635.81669,13997.44147,13104.10361,13712.73365,14208.45952,12596.94751,12874.74069,14339.85806,16245.19386,16551.84889,16595.93527,19239.8185,19548.69305,22699.53517,24543.30406
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,104421447,104174038,103929494,103570062,103280478,102973167,102647939,102337501,102074201,101864274,101215763,100205732,100071871,100175859,100050066
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,1141.800693,1308.142187,1354.343447,1304.88743,1278.789814,993.9907306,861.8317676,854.4612004,948.6566299,893.3364416,866.9478149,946.3585002,966.0364683,989.058529,1016.088807
Chad,TCD,"Population, total",SP.POP.TOTL,12312575,12754997,13210998,13691079,14188678,14647621,15114655,15622759,16156531,16685223,17224679,17828273,18455316,19319064,20299123
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,56121.63873,60419.23216,58813.93648,59304.85085,64700.74239,61852.07356,55950.14829,55806.57089,60783.35293,60568.10835,56785.9402,66912.17532,67627.30845,74589.13812,..
Channel Islands,CHI,"Population, total",SP.POP.TOTL,158621,159706,160767,161777,162726,163454,163883,164319,164949,165639,166235,166741,167215,167691,168126
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,12632.87047,14487.39278,15241.907,15683.54864,14529.67672,13433.9203,13649.85205,14879.90862,15659.48087,14495.71672,13114.81547,16206.83255,15405.61658,17067.03648,16709.8894
Chile,CHL,"Population, total",SP.POP.TOTL,17181464,17351816,17519119,17687006,17864195,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835,19764771
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,4629.245517,5703.76028,6405.057424,7147.035186,7781.065975,8175.332851,8254.868593,8979.676527,10085.66381,10342.90095,10627.4638,12887.43572,12970.60564,12951.17824,13303.14815
China,CHN,"Population, total",SP.POP.TOTL,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6398.295845,7400.99407,8108.598382,8279.102556,8187.208249,6248.514905,5959.842504,6479.532313,6816.968183,6472.545449,5339.687114,6222.621644,6680.445069,7000.836605,7913.988015
Colombia,COL,"Population, total",SP.POP.TOTL,44777319,45259614,45715810,46151584,46565429,46969940,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152,52886363
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1386.575336,1531.439693,1490.314257,1603.326535,1615.717185,1329.370481,1365.484034,1423.924802,1540.711323,1519.263863,1527.169909,1587.729886,1533.877553,1682.202851,1784.115469
Comoros,COM,"Population, total",SP.POP.TOTL,654836,668056,681630,696192,711503,726682,741741,756669,771590,786578,802163,818174,834188,850387,866628
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,314.5385863,364.7141918,400.0599018,431.1915282,458.0045418,467.9145805,442.3104721,436.5845347,528.2560198,557.0441613,507.5212301,558.0340773,642.6122671,633.3956617,647.4357048
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,68563038,70849311,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2946.557981,3396.165058,3732.327373,3697.417059,3601.236581,2439.351894,2093.107286,2211.633099,2694.434132,2488.424667,1993.586672,2516.162551,2620.838043,2477.978455,2482.248947
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,4462290,4609724,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,8265.788203,9276.391075,10126.9991,10803.2402,10911.49788,11714.7106,12091.03016,12317.09028,12590.24938,12884.686,12394.0494,12838.11854,13625.90085,16942.02681,18587.15322
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4555962,4609833,4663934,4716147,4767119,4818038,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525,5129910
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,1553.54887,1596.628266,1546.946018,1786.15862,1991.365394,1814.718551,1862.595971,1964.299303,2130.866194,2141.768362,2179.729348,2455.981276,2333.371283,2554.673049,2709.895116
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,22488065,22982000,23467078,23939775,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,13731.28652,14694.99932,13508.6837,14136.39677,14187.96945,12285.30326,12821.17381,13902.63105,15460.41833,15563.81674,14808.46202,17789.93047,18466.09555,21865.45628,23931.45284
Croatia,HRV,"Population, total",SP.POP.TOTL,4295427,4280622,4260368,4233922,4201598,4151725,4106867,4041407,3988775,3949390,3914206,3878981,3855641,3859686,3866300
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,5272.267558,6104.461052,6470.836734,6828.364282,7146.704591,7727.919972,8110.55874,8610.608295,8911.46206,9232.261159,9605.261251,..,..,..,..
Cuba,CUB,"Population, total",SP.POP.TOTL,11297409,11301571,11303175,11298167,11285775,11275065,11265612,11247829,11227118,11202846,11176354,11122168,11059820,11019931,10979783
